Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,10uF,
"C12, C14, C15, C17, C19, C20, C21, C22, C23, C24",0201,10,100n,
"C16, C18",0402,2,1u,
"C3, C4",0402,2,0.1uF,
"C5, C6",0201,2,15pF,
"C7, C8",0402,2,1uF,
"IC1, IC2",MAX98360AEFB,2,MAX98360AEFB+T,
IC3,SON50P300X200X60-9N,1,W25Q16JVUXIQ_TR,
J1,PinHeader_1x04_P2.00mm_Horizontal,1,Conn_01x04_Pin,
J3,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
R1,0402,1,1K,
"R2, R3",0201,2,27R,
R4,0201,1,1k,
"R5, R6",0201,2,5K1,C105872
"TP1, TP2",TestPoint_Pad_1.0x1.0mm,2,TestPoint,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,UDFN-4-1EP_1x1mm_P0.65mm_EP0.48x0.48mm,1,MIC5317-3.3xM5,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
