Designator,Mid X,Mid Y,Rotation,Layer
C1,137.0,-87.3,0.0,top
C12,139.7,-99.57,270.0,top
C14,140.4,-99.57,270.0,top
C15,136.87,-89.38,180.0,top
C16,137.49,-99.58,270.0,top
C17,136.33,-99.02,180.0,top
C18,137.05,-100.95,0.0,top
C19,136.33,-99.72,180.0,top
C2,140.1,-85.1,270.0,top
C20,137.92,-89.23,90.0,top
C21,143.77,-89.73,90.0,top
C22,144.03,-99.37,270.0,top
C23,136.58,-90.08,0.0,top
C24,144.03,-102.17,90.0,top
C3,141.1,-85.1,270.0,top
C4,136.0,-85.1,270.0,top
C5,138.87,-87.37,90.0,top
C6,143.77,-88.33,270.0,top
C7,138.81,-102.32,90.0,top
C8,136.09,-102.32,270.0,top
IC1,137.8,-85.1,270.0,top
IC2,142.9,-85.1,270.0,top
IC3,142.38,-100.77,270.0,top
J1,137.0,-82.7,90.0,top
J3,140.0,-111.1,0.0,top
R1,138.75,-89.0,270.0,top
R2,138.3,-99.37,90.0,top
R3,139.0,-99.37,90.0,top
R4,144.03,-100.77,90.0,top
R5,138.8,-104.1,270.0,top
R6,142.3,-104.4,0.0,top
U1,140.0,-94.55,180.0,top
U2,137.45,-102.16,0.0,top
Y1,141.32,-88.23,180.0,top
